,Title,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Horror,Sci-Fi,Drama,Thriller,Comedy,Adventure,Action,Adult,Mystery,Crime,Romance,War,Fantasy,Animation,Musical,Family,Western,Title_Dead,Title_Zombie
26,Zombi 3,movie,4.8,95.0,1988,"Action, Horror, Sci-Fi",5140,1988-06-30,"Claudio Fragasso, Lucio Fulci, Bruno Mattei",True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
162,Death House,movie,4.2,90.0,1988,"Action, Horror, Sci-Fi",556,1988-12-01,John Saxon,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
89,Weekend at Bernie's,movie,6.4,97.0,1989,"Adventure, Comedy, Crime",58825,1989-02-09,Ted Kotcheff,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False
231,The Dead Pit,movie,5.3,95.0,1989,Horror,2702,1989-05-31,Brett Leonard,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
236,The Vineyard,movie,4.7,95.0,1989,Horror,957,1989-07-21,"James Hong, William Rice",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,Chrome Hearts,movie,4.1,86.0,1989,"Comedy, Horror",2030,1989-10-31,Dan Hoskins,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
234,Ladrones de tumbas,movie,6.2,88.0,1989,"Horror, Mystery, Thriller",901,1989-11-03,Rubén Galindo Jr.,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
190,The Dead Next Door,movie,5.0,78.0,1989,Horror,3250,1989-11-30,J.R. Bookwalter,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
194,The Boneyard,movie,5.6,98.0,1991,"Fantasy, Horror",1371,1991-06-12,James Cummins,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
189,Braindead,movie,7.5,104.0,1992,"Comedy, Fantasy, Horror, Thriller",99266,1992-06-04,Peter Jackson,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
205,Death Becomes Her,movie,6.6,104.0,1992,"Comedy, Fantasy, Horror",122822,1992-07-13,Robert Zemeckis,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
185,Return of the Living Dead III,movie,5.9,97.0,1993,Horror,15750,1993-06-05,Brian Yuzna,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
184,My Boyfriend's Back,movie,5.4,85.0,1993,"Comedy, Fantasy, Horror, Romance",4781,1993-08-06,Bob Balaban,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False
98,Ed and His Dead Mother,movie,6.0,93.0,1993,"Comedy, Horror",2238,1993-11-17,Jonathan Wacks,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
