Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
58,tt0816711,2014-02-18,2014-02-18,,World War Z,https://www.imdb.com/title/tt0816711/,movie,7.0,116,2013,"Action, Adventure, Horror, Sci-Fi",679016,2013-06-02,Marc Forster
59,tt0813129,2014-02-18,2014-02-18,,To kako,https://www.imdb.com/title/tt0813129/,movie,5.4,83,2005,"Action, Comedy, Horror",1846,2005-09-24,Giorgos Nousias
60,tt0363547,2014-02-18,2014-02-18,,Dawn of the Dead,https://www.imdb.com/title/tt0363547/,movie,7.3,101,2004,"Action, Horror",259979,2004-03-10,Zack Snyder
61,tt0896534,2014-02-18,2014-02-18,,Deadgirl,https://www.imdb.com/title/tt0896534/,movie,5.5,101,2008,Horror,19313,2008-09-06,"Gadi Harel, Marcel Sarmiento"
62,tt1453245,2014-02-18,2014-02-18,,Devil's Playground,https://www.imdb.com/title/tt1453245/,movie,5.1,96,2010,"Action, Horror",5057,2010-08-21,Mark McQueen
63,tt0780583,2014-02-18,2014-02-18,,Plane Dead,https://www.imdb.com/title/tt0780583/,movie,5.1,89,2007,Horror,9353,2007-03-21,Scott Thomas
64,tt0469683,2014-02-18,2014-02-18,,Automaton Transfusion,https://www.imdb.com/title/tt0469683/,movie,3.7,75,2006,Horror,2398,2006-10-18,Steven C. Miller
65,tt0780645,2014-02-18,2014-02-18,,War of the Dead,https://www.imdb.com/title/tt0780645/,movie,4.1,86,2011,"Action, Adventure, Horror, Sci-Fi, Thriller",2732,2011-10-22,Marko Mäkilaakso
66,tt0489018,2014-02-18,2014-02-18,,Day of the Dead,https://www.imdb.com/title/tt0489018/,video,4.5,86,2008,"Action, Horror, Sci-Fi, Thriller",21354,2008-04-08,Steve Miner
67,tt0080931,2014-02-18,2014-02-18,,Incubo sulla città contaminata,https://www.imdb.com/title/tt0080931/,movie,5.6,92,1980,"Horror, Sci-Fi, Thriller",6413,1980-12-11,Umberto Lenzi
68,tt0765430,2014-02-18,2014-02-18,,American Zombie,https://www.imdb.com/title/tt0765430/,movie,5.0,90,2007,"Comedy, Drama, Horror",1194,2007-01-18,Grace Lee
69,tt1300159,2014-02-18,2014-02-18,,Growth,https://www.imdb.com/title/tt1300159/,movie,4.4,90,2010,"Horror, Sci-Fi",3555,2010-01-18,Gabriel Cowan
70,tt1653913,2014-02-18,2014-02-18,,Nihon bundan: Heru doraibâ,https://www.imdb.com/title/tt1653913/,movie,5.2,117,2010,"Horror, Sci-Fi",1702,2010-09-28,Yoshihiro Nishimura
